"","Date","County","Count","pop","case_percapita"
"20725",2016-06-03,"MADISON",2,356729,5.60649680850169e-06
"20727",2016-06-03,"MARENGO",0,19525,0
"20729",2016-06-03,"MARION",0,29960,0
"20731",2016-06-03,"MARSHALL",2,95113,2.10276197785792e-05
"20733",2016-06-03,"MOBILE",0,414945,0
"20735",2016-06-03,"MONROE",0,21548,0
"20737",2016-06-03,"MONTGOMERY",0,227170,0
"20739",2016-06-03,"MORGAN",0,119006,0
"20741",2016-06-03,"PERRY",0,9532,0
"20743",2016-06-03,"PICKENS",0,20325,0
"20745",2016-06-03,"PIKE",0,33464,0
"20747",2016-06-03,"RANDOLPH",0,22504,0
"20749",2016-06-03,"RUSSELL",0,58185,0
"20751",2016-06-03,"SHELBY",0,211282,0
"20753",2016-06-03,"SAINT CLAIR",0,87306,0
"20755",2016-06-03,"SUMTER",0,12967,0
"20757",2016-06-03,"TALLADEGA",0,80552,0
"20759",2016-06-03,"TALLAPOOSA",0,40586,0
"20761",2016-06-03,"TUSCALOOSA",0,206464,0
"20763",2016-06-03,"WALKER",0,64533,0
"20765",2016-06-03,"WASHINGTON",0,16621,0
"20767",2016-06-03,"WILCOX",0,10844,0
"20769",2016-06-03,"WINSTON",0,23907,0
"20771",2016-06-04,"AUTAUGA",0,55243,0
"20773",2016-06-04,"BALDWIN",0,207601,0
"20775",2016-06-04,"BARBOUR",0,25806,0
"20777",2016-06-04,"BIBB",1,22586,4.42752147347915e-05
"20779",2016-06-04,"BLOUNT",1,57494,1.7393119282012e-05
"20781",2016-06-04,"BULLOCK",0,10389,0
"20783",2016-06-04,"BUTLER",0,20012,0
"20785",2016-06-04,"CALHOUN",0,114973,0
"20787",2016-06-04,"CHAMBERS",0,33745,0
"20789",2016-06-04,"CHEROKEE",0,25768,0
"20791",2016-06-04,"CHILTON",0,43866,0
"20793",2016-06-04,"CHOCTAW",0,13045,0
"20795",2016-06-04,"CLARKE",0,24340,0
"20797",2016-06-04,"CLAY",0,13393,0
"20799",2016-06-04,"CLEBURNE",0,14848,0
"20801",2016-06-04,"COFFEE",0,51202,0
"20803",2016-06-04,"COLBERT",0,54497,0
"20805",2016-06-04,"CONECUH",0,12500,0
"20807",2016-06-04,"COOSA",0,10819,0
"20809",2016-06-04,"COVINGTON",0,37382,0
"20811",2016-06-04,"CRENSHAW",0,13916,0
"20813",2016-06-04,"CULLMAN",0,82450,0
"20815",2016-06-04,"DALE",0,49362,0
"20817",2016-06-04,"DALLAS",0,40080,0
"20819",2016-06-04,"DE KALB",0,71104,0
"20821",2016-06-04,"ELMORE",0,81204,0
"20823",2016-06-04,"ESCAMBIA",0,37475,0
"20825",2016-06-04,"ETOWAH",0,102855,0
"20827",2016-06-04,"FAYETTE",0,16563,0
"20829",2016-06-04,"FRANKLIN",0,31611,0
"20831",2016-06-04,"GENEVA",0,26494,0
"20833",2016-06-04,"GREENE",0,8482,0
"20835",2016-06-04,"HALE",0,14828,0
"20837",2016-06-04,"HENRY",0,17072,0
"20839",2016-06-04,"HOUSTON",0,104218,0
"20841",2016-06-04,"JACKSON",0,51988,0
"20843",2016-06-04,"JEFFERSON",4,660343,6.05745801803002e-06
"20845",2016-06-04,"LAMAR",0,13928,0
"20847",2016-06-04,"LAUDERDALE",0,92425,0
"20849",2016-06-04,"LAWRENCE",0,33227,0
"20851",2016-06-04,"LEE",0,159168,0
"20853",2016-06-04,"LIMESTONE",0,92847,0
"20855",2016-06-04,"LOWNDES",0,10248,0
"20857",2016-06-04,"MACON",0,19060,0
"20859",2016-06-04,"MADISON",0,356729,0
"20861",2016-06-04,"MARENGO",0,19525,0
"20863",2016-06-04,"MARION",0,29960,0
"20865",2016-06-04,"MARSHALL",0,95113,0
"20867",2016-06-04,"MOBILE",0,414945,0
"20869",2016-06-04,"MONROE",0,21548,0
"20871",2016-06-04,"MONTGOMERY",0,227170,0
"20873",2016-06-04,"MORGAN",0,119006,0
"20875",2016-06-04,"PERRY",0,9532,0
"20877",2016-06-04,"PICKENS",0,20325,0
"20879",2016-06-04,"PIKE",0,33464,0
"20881",2016-06-04,"RANDOLPH",0,22504,0
"20883",2016-06-04,"RUSSELL",0,58185,0
"20885",2016-06-04,"SHELBY",1,211282,4.73301085752691e-06
"20887",2016-06-04,"SAINT CLAIR",1,87306,1.14539665086019e-05
"20889",2016-06-04,"SUMTER",0,12967,0
"20891",2016-06-04,"TALLADEGA",0,80552,0
"20893",2016-06-04,"TALLAPOOSA",0,40586,0
"20895",2016-06-04,"TUSCALOOSA",2,206464,9.68691878487291e-06
"20897",2016-06-04,"WALKER",0,64533,0
"20899",2016-06-04,"WASHINGTON",0,16621,0
"20901",2016-06-04,"WILCOX",0,10844,0
"20903",2016-06-04,"WINSTON",0,23907,0
"20905",2016-06-05,"AUTAUGA",0,55243,0
"20907",2016-06-05,"BALDWIN",1,207601,4.81693248105741e-06
"20909",2016-06-05,"BARBOUR",0,25806,0
"20911",2016-06-05,"BIBB",1,22586,4.42752147347915e-05
"20913",2016-06-05,"BLOUNT",0,57494,0
"20915",2016-06-05,"BULLOCK",0,10389,0
"20917",2016-06-05,"BUTLER",0,20012,0
"20919",2016-06-05,"CALHOUN",1,114973,8.69769424125664e-06
"20921",2016-06-05,"CHAMBERS",0,33745,0
"20923",2016-06-05,"CHEROKEE",0,25768,0
"20925",2016-06-05,"CHILTON",0,43866,0
"20927",2016-06-05,"CHOCTAW",0,13045,0
"20929",2016-06-05,"CLARKE",0,24340,0
"20931",2016-06-05,"CLAY",0,13393,0
"20933",2016-06-05,"CLEBURNE",0,14848,0
"20935",2016-06-05,"COFFEE",0,51202,0
"20937",2016-06-05,"COLBERT",0,54497,0
"20939",2016-06-05,"CONECUH",0,12500,0
"20941",2016-06-05,"COOSA",0,10819,0
"20943",2016-06-05,"COVINGTON",0,37382,0
"20945",2016-06-05,"CRENSHAW",0,13916,0
"20947",2016-06-05,"CULLMAN",0,82450,0
"20949",2016-06-05,"DALE",0,49362,0
"20951",2016-06-05,"DALLAS",0,40080,0
"20953",2016-06-05,"DE KALB",0,71104,0
"20955",2016-06-05,"ELMORE",0,81204,0
"20957",2016-06-05,"ESCAMBIA",0,37475,0
"20959",2016-06-05,"ETOWAH",0,102855,0
"20961",2016-06-05,"FAYETTE",0,16563,0
"20963",2016-06-05,"FRANKLIN",0,31611,0
"20965",2016-06-05,"GENEVA",0,26494,0
"20967",2016-06-05,"GREENE",0,8482,0
"20969",2016-06-05,"HALE",0,14828,0
"20971",2016-06-05,"HENRY",0,17072,0
"20973",2016-06-05,"HOUSTON",0,104218,0
"20975",2016-06-05,"JACKSON",0,51988,0
"20977",2016-06-05,"JEFFERSON",3,660343,4.54309351352252e-06
"20979",2016-06-05,"LAMAR",0,13928,0
"20981",2016-06-05,"LAUDERDALE",0,92425,0
"20983",2016-06-05,"LAWRENCE",0,33227,0
"20985",2016-06-05,"LEE",0,159168,0
"20987",2016-06-05,"LIMESTONE",0,92847,0
"20989",2016-06-05,"LOWNDES",0,10248,0
"20991",2016-06-05,"MACON",0,19060,0
"20993",2016-06-05,"MADISON",0,356729,0
"20995",2016-06-05,"MARENGO",0,19525,0
"20997",2016-06-05,"MARION",0,29960,0
"20999",2016-06-05,"MARSHALL",0,95113,0
"21001",2016-06-05,"MOBILE",0,414945,0
"21003",2016-06-05,"MONROE",0,21548,0
"21005",2016-06-05,"MONTGOMERY",0,227170,0
"21007",2016-06-05,"MORGAN",0,119006,0
"21009",2016-06-05,"PERRY",0,9532,0
"21011",2016-06-05,"PICKENS",0,20325,0
"21013",2016-06-05,"PIKE",0,33464,0
"21015",2016-06-05,"RANDOLPH",0,22504,0
"21017",2016-06-05,"RUSSELL",0,58185,0
"21019",2016-06-05,"SHELBY",1,211282,4.73301085752691e-06
"21021",2016-06-05,"SAINT CLAIR",0,87306,0
"21023",2016-06-05,"SUMTER",1,12967,7.71188401326444e-05
"21025",2016-06-05,"TALLADEGA",1,80552,1.24143410467772e-05
"21027",2016-06-05,"TALLAPOOSA",0,40586,0
"21029",2016-06-05,"TUSCALOOSA",0,206464,0
"21031",2016-06-05,"WALKER",0,64533,0
"21033",2016-06-05,"WASHINGTON",0,16621,0
"21035",2016-06-05,"WILCOX",0,10844,0
"21037",2016-06-05,"WINSTON",0,23907,0
"21039",2016-06-06,"AUTAUGA",0,55243,0
"21041",2016-06-06,"BALDWIN",0,207601,0
"21043",2016-06-06,"BARBOUR",0,25806,0
"21045",2016-06-06,"BIBB",0,22586,0
"21047",2016-06-06,"BLOUNT",0,57494,0
"21049",2016-06-06,"BULLOCK",0,10389,0
"21051",2016-06-06,"BUTLER",0,20012,0
"21053",2016-06-06,"CALHOUN",0,114973,0
"21055",2016-06-06,"CHAMBERS",0,33745,0
"21057",2016-06-06,"CHEROKEE",0,25768,0
"21059",2016-06-06,"CHILTON",0,43866,0
"21061",2016-06-06,"CHOCTAW",0,13045,0
"21063",2016-06-06,"CLARKE",0,24340,0
"21065",2016-06-06,"CLAY",0,13393,0
"21067",2016-06-06,"CLEBURNE",0,14848,0
"21069",2016-06-06,"COFFEE",0,51202,0
"21071",2016-06-06,"COLBERT",0,54497,0
"21073",2016-06-06,"CONECUH",0,12500,0
"21075",2016-06-06,"COOSA",0,10819,0
"21077",2016-06-06,"COVINGTON",0,37382,0
"21079",2016-06-06,"CRENSHAW",0,13916,0
"21081",2016-06-06,"CULLMAN",0,82450,0
"21083",2016-06-06,"DALE",0,49362,0
"21085",2016-06-06,"DALLAS",0,40080,0
"21087",2016-06-06,"DE KALB",0,71104,0
"21089",2016-06-06,"ELMORE",0,81204,0
"21091",2016-06-06,"ESCAMBIA",0,37475,0
"21093",2016-06-06,"ETOWAH",0,102855,0
"21095",2016-06-06,"FAYETTE",0,16563,0
"21097",2016-06-06,"FRANKLIN",0,31611,0
"21099",2016-06-06,"GENEVA",0,26494,0
"21101",2016-06-06,"GREENE",0,8482,0
"21103",2016-06-06,"HALE",0,14828,0
"21105",2016-06-06,"HENRY",0,17072,0
"21107",2016-06-06,"HOUSTON",0,104218,0
"21109",2016-06-06,"JACKSON",0,51988,0
"21111",2016-06-06,"JEFFERSON",2,660343,3.02872900901501e-06
"21113",2016-06-06,"LAMAR",0,13928,0
"21115",2016-06-06,"LAUDERDALE",0,92425,0
"21117",2016-06-06,"LAWRENCE",0,33227,0
"21119",2016-06-06,"LEE",0,159168,0
"21121",2016-06-06,"LIMESTONE",0,92847,0
"21123",2016-06-06,"LOWNDES",0,10248,0
"21125",2016-06-06,"MACON",0,19060,0
"21127",2016-06-06,"MADISON",3,356729,8.40974521275254e-06
"21129",2016-06-06,"MARENGO",1,19525,5.12163892445583e-05
"21131",2016-06-06,"MARION",0,29960,0
"21133",2016-06-06,"MARSHALL",1,95113,1.05138098892896e-05
"21135",2016-06-06,"MOBILE",0,414945,0
"21137",2016-06-06,"MONROE",0,21548,0
"21139",2016-06-06,"MONTGOMERY",0,227170,0
"21141",2016-06-06,"MORGAN",2,119006,1.68058753340168e-05
"21143",2016-06-06,"PERRY",0,9532,0
"21145",2016-06-06,"PICKENS",0,20325,0
"21147",2016-06-06,"PIKE",0,33464,0
"21149",2016-06-06,"RANDOLPH",0,22504,0
"21151",2016-06-06,"RUSSELL",0,58185,0
"21153",2016-06-06,"SHELBY",0,211282,0
"21155",2016-06-06,"SAINT CLAIR",0,87306,0
"21157",2016-06-06,"SUMTER",0,12967,0
"21159",2016-06-06,"TALLADEGA",0,80552,0
"21161",2016-06-06,"TALLAPOOSA",0,40586,0
"21163",2016-06-06,"TUSCALOOSA",0,206464,0
"21165",2016-06-06,"WALKER",1,64533,1.54959478096478e-05
"21167",2016-06-06,"WASHINGTON",0,16621,0
"21169",2016-06-06,"WILCOX",0,10844,0
"21171",2016-06-06,"WINSTON",0,23907,0
"21173",2016-06-07,"AUTAUGA",0,55243,0
"21175",2016-06-07,"BALDWIN",0,207601,0
"21177",2016-06-07,"BARBOUR",0,25806,0
"21179",2016-06-07,"BIBB",1,22586,4.42752147347915e-05
"21181",2016-06-07,"BLOUNT",0,57494,0
"21183",2016-06-07,"BULLOCK",0,10389,0
"21185",2016-06-07,"BUTLER",0,20012,0
"21187",2016-06-07,"CALHOUN",0,114973,0
"21189",2016-06-07,"CHAMBERS",0,33745,0
"21191",2016-06-07,"CHEROKEE",0,25768,0
"21193",2016-06-07,"CHILTON",0,43866,0
"21195",2016-06-07,"CHOCTAW",0,13045,0
"21197",2016-06-07,"CLARKE",0,24340,0
"21199",2016-06-07,"CLAY",0,13393,0
"21201",2016-06-07,"CLEBURNE",0,14848,0
"21203",2016-06-07,"COFFEE",0,51202,0
"21205",2016-06-07,"COLBERT",0,54497,0
"21207",2016-06-07,"CONECUH",0,12500,0
"21209",2016-06-07,"COOSA",0,10819,0
"21211",2016-06-07,"COVINGTON",0,37382,0
"21213",2016-06-07,"CRENSHAW",0,13916,0
"21215",2016-06-07,"CULLMAN",1,82450,1.21285627653123e-05
"21217",2016-06-07,"DALE",0,49362,0
"21219",2016-06-07,"DALLAS",0,40080,0
"21221",2016-06-07,"DE KALB",0,71104,0
"21223",2016-06-07,"ELMORE",0,81204,0
"21225",2016-06-07,"ESCAMBIA",0,37475,0
"21227",2016-06-07,"ETOWAH",0,102855,0
"21229",2016-06-07,"FAYETTE",0,16563,0
"21231",2016-06-07,"FRANKLIN",0,31611,0
"21233",2016-06-07,"GENEVA",0,26494,0
"21235",2016-06-07,"GREENE",0,8482,0
"21237",2016-06-07,"HALE",0,14828,0
"21239",2016-06-07,"HENRY",0,17072,0
"21241",2016-06-07,"HOUSTON",0,104218,0
"21243",2016-06-07,"JACKSON",0,51988,0
"21245",2016-06-07,"JEFFERSON",5,660343,7.57182252253753e-06
"21247",2016-06-07,"LAMAR",0,13928,0
"21249",2016-06-07,"LAUDERDALE",0,92425,0
"21251",2016-06-07,"LAWRENCE",0,33227,0
"21253",2016-06-07,"LEE",0,159168,0
"21255",2016-06-07,"LIMESTONE",1,92847,1.07704072290973e-05
"21257",2016-06-07,"LOWNDES",0,10248,0
"21259",2016-06-07,"MACON",0,19060,0
"21261",2016-06-07,"MADISON",2,356729,5.60649680850169e-06
"21263",2016-06-07,"MARENGO",0,19525,0
"21265",2016-06-07,"MARION",0,29960,0
"21267",2016-06-07,"MARSHALL",0,95113,0
"21269",2016-06-07,"MOBILE",0,414945,0
"21271",2016-06-07,"MONROE",0,21548,0
"21273",2016-06-07,"MONTGOMERY",0,227170,0
"21275",2016-06-07,"MORGAN",0,119006,0
"21277",2016-06-07,"PERRY",0,9532,0
"21279",2016-06-07,"PICKENS",0,20325,0
"21281",2016-06-07,"PIKE",0,33464,0
"21283",2016-06-07,"RANDOLPH",0,22504,0
"21285",2016-06-07,"RUSSELL",0,58185,0
"21287",2016-06-07,"SHELBY",0,211282,0
"21289",2016-06-07,"SAINT CLAIR",0,87306,0
"21291",2016-06-07,"SUMTER",0,12967,0
"21293",2016-06-07,"TALLADEGA",0,80552,0
"21295",2016-06-07,"TALLAPOOSA",0,40586,0
"21297",2016-06-07,"TUSCALOOSA",1,206464,4.84345939243645e-06
"21299",2016-06-07,"WALKER",0,64533,0
"21301",2016-06-07,"WASHINGTON",0,16621,0
"21303",2016-06-07,"WILCOX",0,10844,0
"21305",2016-06-07,"WINSTON",0,23907,0
"21307",2016-06-08,"AUTAUGA",0,55243,0
"21309",2016-06-08,"BALDWIN",0,207601,0
"21311",2016-06-08,"BARBOUR",0,25806,0
"21313",2016-06-08,"BIBB",0,22586,0
